RECNUMB,SN,SENSE,INITTF,NOMLEX1TF,NOMLEX2TF,NOMLEX3TF,NOMLEX4TF,NOMLEX5TF,VERBLEX1TF,VERBLEX2TF,VERBLEX3TF,VERBLEX4TF,VERBLEX5TF,PARTLEX1TF,PARTLEX2TF,PARTLEX3TF,QUESTLEXTF,QUESTLE2TF,DEICTIC1TF,INTERJ1TF,INTERJ2TF,INTERJ3TF,COMPTF,BLENDTF,DIRTF,BEGINDIRTF,ENDDIRTF,ORIENTTF,BODYLOCTF,AUSLEXTF,REGLEXTF,RESTRICT,GENSIGN,MARGINAL,VARLEXTF,NTHTF,STHTF,NSWTF,VICTF,QLDTF,WATF,SATF,TASTF,CATHSCHTF,STATESCHTF,ANGCONGTF,CATHOLICTF,JWTF,OTHERELTF,PROPNAMETF,BODYACTTF,SENSEACTTF,MINDACTTF,ANIMALTF,LINGACTTF,METALANGTF,FEELINGSTF,JUDGETF,QUALITYTF,QUANTITYTF,PEOPLETF,COLORSTF,SHAPESTF,EDUCATETF,FOODSTF,DRINKSTF,COOKINGTF,GOVTF,HEALTHTF,MONEYTF,ORDERTF,MATHSTF,FURNTF,ROOMSTF,UTENSILSTF,GROOMTF,CLOTHESTF,BODYPARTTF,FAMILYTF,WORKTF,SEXTF,CITYTF,LOCDIRTF,SHOPTF,NATURETF,ARTSTF,SPORTSTF,HOBBIESTF,RELIGIONTF,AUTOSTF,TIMETF,DAYSTF,SEASONSTF,TRAVELTF,ONEHAND,TWOHAND,DOUBLEHND,ALTERNATE,DOMHNDSH,SUBHNDSH,LOCPRIM,LOCSECOND,SYM,PARA,DOMONLY,OPAQUETF,OBSCURETF,TRANSLTF,TRANSPTF,ASLLOANTF,BSLLOANTF,SALUTATION,DEAFNESS,LAW,TELECOMMUN,ENGTF1,ENGTF2,ENGTF3,ENGTF4,ENGTF5,ENGTF6,ENGTF7,ENGTF8,ENGTF9,ENGTF10,ENGTF11,ENGTF12,ANT1TF,ANT2TF,ANT3TF,CF1TF,CF2TF,CF3TF,SYN1TF,SYN2TF,SYN3TF,MATTERTF,DEICTIC1,DEICTIC2,DEICTIC3,DEICTIC4,DEICTIC2TF,DEICTIC3TF,DEICTIC4TF,COMP,BLEND,QUERIES,NOMLEX1,NOMLEX2,NOMLEX3,NOMLEX4,NOMLEX5,GENMEAN,INTERJ1,INTERJ2,INTERJ3,PARTLEX1,PARTLEX2,PARTLEX3,QUESTLEX,QUESTLEX2,ENGLISH1,ENGLISH2,ENGLISH3,ENGLISH4,ENGLISH5,ENGLISH6,ENGLISH7,ENGLISH8,ENGLISH9,ENGLISH10,ENGLISH11,ENGLISH12,VERBLEX1,VERBLEX2,VERBLEX3,VERBLEX4,VERBLEX5,IDGLOSS,ANT1,ANT2,ANT3,CF1,CF2,CF3,SYN1,SYN2,SYN3,OLDENTRY
1.1000000000000000e+01,1.5000000000000000e+01,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,3.0000000000000000e+00,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,0,0,,"IMAGINATION + I","Especially considered to be a genuine sign by some South Australian informants.","1. The ideas and thoughts you have about a certain subject or topic; the beliefs or views that a person has. English = opinion.",,,,,,,,,,,,,,"opinion",,,,,,,,,,,,,,,,,"opinion.1a",,,,,,,"imagination.1a","idea.1a",,
1.2000000000000000e+01,1.9000000000000000e+01,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,3.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,0,0,0,,,,"1. The act of enlightening or the state of being enlightened. English = enlightenment.",,,,,,,,,,,,,,"enlightenment","enlightened","enlighten",,,,,,,,,,"1. To acquire more knowledge about something; to become better informed. Formal English = (be) enlightened.","2. To make someone more aware and informed. English = enlighten.",,,,"enlighten",,,,"wake","alert.1a",,,,,"Popular explanation: an increase in some mental substance."
1.3000000000000000e+01,2.2000000000000000e+01,,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,3.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,,,,,0,0,0,,,,"1. The bringing back into your mind the thought or impression of something that happened in the past. English = remembrance, recollection.","2. Your ability to remember things. English = memory, recall.","3. Something that you remember about the past. English = memory.","4. The learning of something exactly so that you can remember it exactly. English = memorisation.",,,,,,,,,,,"remembrance","recollection","recall","memory","memorisation","recollect","remember","recollect","memorise",,,,"1. To bring the thought and mental impression of something that happened in the past back into your mind now, at a later date. English = remember, recall, recollect.","2. To learn something thoroughly so that you can remember it exactly. English = memorise.",,,,"remember.1a","forget.1","forget.2a",,"prize","souvenir","resolute","memorise",,,"Popular explanation: to hold something in the mind."
1.4000000000000000e+01,2.4000000000000000e+01,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,3.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,,,0,0,0,"EDUCATE + ALL",,,"1. The effect that someone has on what a person does or on what happens. English = influence.","2. The power that you have which makes it likely that other people will agree with you or do what you want. English = influence.",,,,,,,,,,,,,"influence",,,,,,,,,,,,"1. To have an effect on the way that a person acts or on what happens. English = influence.",,,,,"influence.1",,,,"educate.1a",,,"influence.2","counsel.1a",,"Popular explanation: to take from your mind and put into others."
1.5000000000000000e+01,2.7000000000000000e+01,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,4.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,0,0,,,,"1. The condition of something being bright. English = brightness.",,,,,,,,,,,,,,"brightness","bright","brighten",,,,,,,,,,"1. Of a light, object, or place, to be shining strongly or to be full of light. English = (be) bright.","2. Of a light, object, or place, to become lighter, brighter, or more full of light. English = brighten.",,,,"bright","dark",,,,,,"clear.1a",,,"Popular explanation: rays of light into your eyes."
1.6000000000000000e+01,2.8000000000000000e+01,,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,5.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,,,,,0,0,0,,,,"1. A person who is inquisitive and always wants to know everything that is happening. Informal Australian English = sticky-beak.","2. The desire that someone has to know about things and to learn as much as possible about them. English = curiosity.",,,,,,,,,,,,,"sticky-beak","curiosity","nosy","nosey","pry","curious",,,,,,,"1. To try to find out about things that do not concern you. English = (be) nosy, (be) nosey.","2. To ask about other people business or to try and find out about things that do not concern you. English = pry.","3. To be interested in things and eager to learn as much as possible about them. English = (be) curious.",,,"sticky-beak.1a","withdraw",,,,,,"nose.2","sticky-beak.2","sticky-beak.2","Popular explanation: big nose."
1.7000000000000000e+01,3.1000000000000000e+01,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,5.0000000000000000e+00,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,"nasty",,,,,,,,,,,,"1. Of a person, to be unkind and unpleasant. English = (be) nasty.",,,,,"nasty.person",,,,,,,,,,
1.8000000000000000e+01,3.2000000000000000e+01,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,5.0000000000000000e+00,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,,,,0,0,0,,,,"1. Activities which are enjoyable and amusing. English = fun.",,,,,,"1. Used alone to mean that there has been a slight accident or mistake. English = 'Oops!'",,,,,,,,"fun","oops",,,,,,,,,,,"1. Of an activity, to be enjoyable or amusing. English = (be) fun.",,,,,"fun","boring.1a","boring.2",,,,,"funny.1a",,,
1.9000000000000000e+01,3.2100000000000001e+01,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,5.0000000000000000e+00,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,"1. A city in South-East China at the mouth of the Pearl River, called Hong Kong.",,,,,,,,,,,,,,"Hong Kong",,,,,,,,,,,,,,,,,"Hong Kong",,,,,,,,,,
2.0000000000000000e+01,3.3000000000000000e+01,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,6.0000000000000000e+00,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,"1. A set of red, amber, and green lights at a road junction which control the flow of traffic. The red light means stop, amber means prepare to stop or to move off, and green means go. English = traffic lights.",,,,,,,,,,,,,,"traffic lights",,,,,,,,,,,,,,,,,"traffic lights.1a",,,,,,,,,,"Popular explanation: three lights in a vertical line."
